Sector,Skill,DemandLabel
Education / Enseignement / Formation,[],Normally Demanded
Education / Enseignement / Formation,Enseignement / Formation / Traduction,Normally Demanded
Education / Enseignement / Formation,Casablanca-Settat,Normally Demanded
Education / Enseignement / Formation,Enseignement / Formation / Traduction,Normally Demanded
 vous devez faire preuve d'adaptabilité,MED BROKER MAROC est une succursale d'un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers et professionnels pour le marché français.,Normally Demanded
 vous devez faire preuve d'adaptabilité,MED BROKER MAROC,Normally Demanded
25/12/2024,Co Managers,Normally Demanded
25/12/2024,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,Normally Demanded
Santé,[Précis,Normally Demanded
Santé,Dynamique,Normally Demanded
Santé,Organisé],Normally Demanded
Centres d'appels,Marrakech,Normally Demanded
Centres d'appels,Marrakech-Safi,Highly Demanded
Centres d'appels,Banque / Assurance,Highly Demanded
Centres d'appels,Rigoureux,Highly Demanded
Centres d'appels,[Confident],Highly Demanded
Centres d'appels,Souss-Massa,Normally Demanded
Centres d'appels,[],Highly Demanded
Centres d'appels,[Confident,Highly Demanded
Centres d'appels,[Orienté résultats],Normally Demanded
Centres d'appels,Casablanca-Settat,Highly Demanded
Centres d'appels,[Organisé],Normally Demanded
Centres d'appels,Casablanca / Nouaceur,Normally Demanded
Centres d'appels,Agadir,Normally Demanded
Centres d'appels,Good,Normally Demanded
Centres d'appels,[Ventes,Highly Demanded
Centres d'appels,Tanger,Normally Demanded
Centres d'appels,[Décisif],Highly Demanded
Centres d'appels,[Décisif,Highly Demanded
Centres d'appels,Marrakech-Safi,Normally Demanded
Centres d'appels,Rabat,Highly Demanded
Centres d'appels,[Ventes],Normally Demanded
Centres d'appels,Tanger-Tétouan-Al Hoceïma,Normally Demanded
Centres d'appels,Métiers des centres d'appels,Highly Demanded
Centres d'appels,[Esprit critique,Highly Demanded
Centres d'appels,Ressources humaines,Highly Demanded
Centres d'appels,Meknes / Fes / Rabat / Salé / Kenitra / Marrakech / Agadir,Normally Demanded
Centres d'appels,[],Highly Demanded
Centres d'appels,Fluent,Normally Demanded
Centres d'appels,Professional Benefits,Normally Demanded
Centres d'appels,Autonome],Highly Demanded
Centres d'appels,Casablanca,Normally Demanded
Centres d'appels,renforcement musculaire,Normally Demanded
Centres d'appels,des chargés de clientèle en réception d'appels.,Highly Demanded
Centres d'appels,un centre d'appels de renommée,Highly Demanded
Centres d'appels,Organisé,Highly Demanded
Centres d'appels,Fes / Salé / Casablanca / Berrechid / Nouaceur / Marrakech,Normally Demanded
Centres d'appels,Confident,Highly Demanded
Centres d'appels,Confident,Normally Demanded
Centres d'appels,Métiers des centres d'appels,Normally Demanded
Centres d'appels,gainage,Normally Demanded
Centres d'appels,[],Highly Demanded
Centres d'appels,Casablanca,Normally Demanded
Centres d'appels,Marrakech-Safi,Normally Demanded
Centres d'appels,Commerce / Distribution / Vente / Import-export,Normally Demanded
Centres d'appels,[Ventes],Normally Demanded
Centres d'appels,[Organisé],Normally Demanded
Centres d'appels,Métiers des centres d'appels,Highly Demanded
Centres d'appels,amélioration des qualités physiques,Normally Demanded
Centres d'appels,[Agréable,Normally Demanded
Centres d'appels,Marrakech,Highly Demanded
Centres d'appels,Casablanca-Settat,Highly Demanded
29/11/2024,Métiers des centres d'appels,Highly Demanded
29/11/2024,Casablanca,Highly Demanded
29/11/2024,Casablanca-Settat,Highly Demanded
 Angular,AGENCE WEB DIGITALE,Normally Demanded
 Angular,https,Normally Demanded
 Angular,FOR NET,Normally Demanded
 Angular,Rabat-Salé-Kénitra,Normally Demanded
 Angular,M-job,Normally Demanded
 Angular,Rabat,Normally Demanded
 faire des propositions commerciales adéquates à leurs besoins. Avantages des postes : -Horaires de travail : shifts rotatifs de 08 heures / jour avec 2 jours off dans la semaine par roulement -Contrat CDI + AVANTAGES SOCIAUX (CNSS + mutuelle privée + transport assuré) -salaire fixe 4500DHS + prime de rendement -Formation rémunérée au salaire a 100 %,Casablanca-Settat,Normally Demanded
 faire des propositions commerciales adéquates à leurs besoins. Avantages des postes : -Horaires de travail : shifts rotatifs de 08 heures / jour avec 2 jours off dans la semaine par roulement -Contrat CDI + AVANTAGES SOCIAUX (CNSS + mutuelle privée + transport assuré) -salaire fixe 4500DHS + prime de rendement -Formation rémunérée au salaire a 100 %,Recrutement Centre d'appel et autres,Normally Demanded
 faire des propositions commerciales adéquates à leurs besoins. Avantages des postes : -Horaires de travail : shifts rotatifs de 08 heures / jour avec 2 jours off dans la semaine par roulement -Contrat CDI + AVANTAGES SOCIAUX (CNSS + mutuelle privée + transport assuré) -salaire fixe 4500DHS + prime de rendement -Formation rémunérée au salaire a 100 %,Casablanca,Normally Demanded
Autres,cartographie et systèmes d’information géographique «,Normally Demanded
Autres,télédétection,Normally Demanded
Autres,Secrétariat / Services Généraux,Normally Demanded
Autres,[Créativité,Normally Demanded
Autres,[Sociable,Normally Demanded
Autres,Casablanca-Settat,Normally Demanded
Autres,Entrepreneuriat,Normally Demanded
Autres,Dynamique,Normally Demanded
Autres,[Collaboratif],Normally Demanded
Autres,électricité industrielle.,Normally Demanded
Autres,Casablanca,Normally Demanded
Autres,s’engage à fournir des services de qualité tout en plaçant le client au cœur de nos préoccupations.,Normally Demanded
 curieux,Casablanca,Highly Demanded
 curieux,ECA Assurances,Highly Demanded
 ou équivalents). • Bonne connaissance des plateformes de réseaux sociaux et de leurs outils (Facebook Business,Temara,Normally Demanded
 ou équivalents). • Bonne connaissance des plateformes de réseaux sociaux et de leurs outils (Facebook Business,M-job,Normally Demanded
Centres d'appels / Assurance,mutuelle santé et emprunteur. En charge de commercialiser nos produits (Auto,Highly Demanded
Centres d'appels / Assurance,décennale,Highly Demanded
Centres d'appels / Assurance,spécialisée en gestion et en distribution de produits d'assurances Auto Rag,Highly Demanded
 - Assurer le gestion et le suivi de réalisation des projets techniques - Elaborer et suivre le budget de fonctionnement de maintenance du site où il est affecté - Elaborer et suivre les actions d'investissement du site ou il est affecté,Entreprise opérant dans le secteur de l'énérgie au Maroc,Normally Demanded
 - Assurer le gestion et le suivi de réalisation des projets techniques - Elaborer et suivre le budget de fonctionnement de maintenance du site où il est affecté - Elaborer et suivre les actions d'investissement du site ou il est affecté,SOMAS,Normally Demanded
Conseil / Consulting,Communication],Normally Demanded
Conseil / Consulting,[Ressources humaines,Normally Demanded
Conseil / Consulting,[],Normally Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,CPA MAROC est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français.,Highly Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,CPA CS,Highly Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,LES MANDARINS MAROC,Highly Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,CPA CS est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français,Highly Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,CPA MAROC,Highly Demanded
 et avez de bons réflexes commerciaux. Capacité d'adaptation,Les Mandarins Maroc,Highly Demanded
 Service client pour un site e- commerce. Candidats sans expérience acceptés. Formation de haut niveau assurée. Travail stable et cadre agréable.,Marrakech,Highly Demanded
 Service client pour un site e- commerce. Candidats sans expérience acceptés. Formation de haut niveau assurée. Travail stable et cadre agréable.,Marrakech-Safi,Highly Demanded
 Service client pour un site e- commerce. Candidats sans expérience acceptés. Formation de haut niveau assurée. Travail stable et cadre agréable.,Recrutement Centre d'appel et autres,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,Mohammedia,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,Casablanca-Settat,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,nous définissons notre métier.,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,Mohammedia,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,Casablanca-Settat,Highly Demanded
Centres d'appels / Conseil / Consulting / Assurance / Santé / Télécommunications,Banque / Assurance / Conseil / Consulting / Santé / Professions médicales / Télécoms / Réseaux,Highly Demanded
-1,il a dirigé la migration des systèmes de téléphonie et de communications vers le « cloud » dans notre pays,Normally Demanded
-1,Rabat-Salé-Kénitra,Highly Demanded
-1,Marrakech,Normally Demanded
-1,Sociable,Normally Demanded
-1,Banque / Assurance,Normally Demanded
-1,[Fiable,Normally Demanded
-1,[Décisif,Highly Demanded
-1,como partner estratégico de TECH Universidad,Normally Demanded
-1,[],Highly Demanded
-1,[Ressources humaines],Normally Demanded
-1,Santé / Professions médicales,Normally Demanded
-1,[Esprit critique,Highly Demanded
-1,Sociable],Highly Demanded
-1,Informatique / Internet / Multimedia,Highly Demanded
-1,un centre d'appels de renommée,Highly Demanded
-1,Casablanca,Normally Demanded
-1,la mayor Universidad digital del mundo,Normally Demanded
-1,Achats,Normally Demanded
-1,Informatique / Internet / Multimedia,Normally Demanded
-1,[Esprit critique],Highly Demanded
-1,[Empathie],Normally Demanded
-1,Comptabilité / Gestion / Audit,Normally Demanded
-1,Casablanca / Berrechid / Nouaceur,Normally Demanded
-1,[Gestion du temps,Normally Demanded
-1,[],Normally Demanded
-1,[Ventes,Highly Demanded
-1,Logistique / Transport,Normally Demanded
-1,des chargés de clientèle en réception d'appels.,Highly Demanded
-1,[Proactif,Normally Demanded
-1,Nous sommes un cabinet de recrutement de premier plan et nous recherchons pour notre client,Highly Demanded
-1,ainsi que des leaders dans le secteur de la téléphonie cloud pour les PME. Depuis sa naissance en 2003,Normally Demanded
-1,Casablanca-Settat,Normally Demanded
-1,Banque / Assurance,Highly Demanded
-1,Esprit critique,Normally Demanded
-1,sous la marque VozTelecom,Normally Demanded
-1,[Ressources humaines,Highly Demanded
-1,Temara,Highly Demanded
-1,Métiers des centres d'appels,Highly Demanded
-1,Autres fonctions,Normally Demanded
-1,Rabat,Highly Demanded
-1,ha sido reconocida por Forbes como la mejor Universidad online del mundo y es también la Universidad oficial de la NBA. TECH Education and BPO Morocco Prive SRL,Normally Demanded
-1,Commerce / Distribution / Vente / Import-export,Normally Demanded
-1,[Organisé],Highly Demanded
-1,[Décisif,Normally Demanded
-1,Casablanca / Mohammedia,Highly Demanded
-1,Responsable,Normally Demanded
-1,Métiers des centres d'appels,Highly Demanded
-1,[Précis,Normally Demanded
-1,PME et les entreprises nationales et internationales ),Normally Demanded
-1,Casablanca-Settat,Highly Demanded
-1,[Responsable],Highly Demanded
 IONIC,FOR NET,Normally Demanded
 IONIC,AGENCE WEB DIGITALE,Normally Demanded
 sens des responsabilités,Excellium Carrières est un cabinet de recrutement et de conseils. Il permet à ses candidats de décrocher le meilleur poste auprès des plus grands centres de relation client et sociétés offshoring du marché. Avec une équipe de recruteurs à forte expérience nous vous accompagnons efficacement dans votre insertion professionnelle ans les secteurs les plus dynamiques sur le marché de l'emploi.,Highly Demanded
 sens des responsabilités,Casablanca-Settat,Highly Demanded
 sens des responsabilités,Casablanca,Highly Demanded
 confirmation,spécialisée en gestion d'appel sortants et sortants. Plus de 17 ans d'expertise dans la relation client,Normally Demanded
 confirmation,TYM Group est une plateforme téléphonique,Normally Demanded
 confirmation,TYM Group,Normally Demanded
 vos principales missions seront les suivantes : Commercialiser des produits d’assurance auprès des particuliers Suivre la procédure interne et la charte d'appel préalablement établie. Répondre précisément aux besoins,ECA Assurances,Highly Demanded
 vos principales missions seront les suivantes : Commercialiser des produits d’assurance auprès des particuliers Suivre la procédure interne et la charte d'appel préalablement établie. Répondre précisément aux besoins,ECA Assurances construit depuis plus de 25 ans,Highly Demanded
 vos principales missions seront les suivantes : Commercialiser des produits d’assurance auprès des particuliers Suivre la procédure interne et la charte d'appel préalablement établie. Répondre précisément aux besoins,Acteur incontournable du courtage en Assurances,Highly Demanded
Tourisme / Hôtellerie / Restauration,Assurer les travaux d’aménagement sur les terrains,Normally Demanded
Tourisme / Hôtellerie / Restauration,annulations,Normally Demanded
Tourisme / Hôtellerie / Restauration,Rabat-Salé-Kénitra,Normally Demanded
Tourisme / Hôtellerie / Restauration,modifications). Coordination avec les Fournisseurs ,Normally Demanded
Tourisme / Hôtellerie / Restauration,Gérer son Département (Ressources Humaines,Normally Demanded
Tourisme / Hôtellerie / Restauration,Conseiller les investisseurs potentiels,Normally Demanded
Tourisme / Hôtellerie / Restauration,moyens,Normally Demanded
Tourisme / Hôtellerie / Restauration,Tourisme / Hôtellerie / Restauration,Normally Demanded
Tourisme / Hôtellerie / Restauration,les compagnies de transport,Normally Demanded
Tourisme / Hôtellerie / Restauration,sa viabilisation à son lotissement,Normally Demanded
Tourisme / Hôtellerie / Restauration,Piloter le recouvrement des créances liées à la cession des terrains,Normally Demanded
Tourisme / Hôtellerie / Restauration,Rabat,Normally Demanded
Tourisme / Hôtellerie / Restauration,sa sécurisation,Normally Demanded
 CNSS et mutuelle privée et CIMR a la fin de la première année dans l'entrprise Un salaire fixe intéressant+ prime de performance en fonction du projet PRIME DE BIENVENUE DE 2000 DH Formation rémunérée dès le premier mois. Transport assuré Divers avantages du Groupe tels que des conventions pour les soins médicaux,Casablanca / Mohammedia,Normally Demanded
 CNSS et mutuelle privée et CIMR a la fin de la première année dans l'entrprise Un salaire fixe intéressant+ prime de performance en fonction du projet PRIME DE BIENVENUE DE 2000 DH Formation rémunérée dès le premier mois. Transport assuré Divers avantages du Groupe tels que des conventions pour les soins médicaux,Casablanca / Mohammedia,Normally Demanded
 CNSS et mutuelle privée et CIMR a la fin de la première année dans l'entrprise Un salaire fixe intéressant+ prime de performance en fonction du projet PRIME DE BIENVENUE DE 2000 DH Formation rémunérée dès le premier mois. Transport assuré Divers avantages du Groupe tels que des conventions pour les soins médicaux,Co Managers,Normally Demanded
 CNSS et mutuelle privée et CIMR a la fin de la première année dans l'entrprise Un salaire fixe intéressant+ prime de performance en fonction du projet PRIME DE BIENVENUE DE 2000 DH Formation rémunérée dès le premier mois. Transport assuré Divers avantages du Groupe tels que des conventions pour les soins médicaux,M-job,Normally Demanded
 en collaboration avec les équipes internes. Participer à l'organisation d'événements commerciaux et de salons professionnels,Société de service en informatique. Intégrateur d'infrastructures informatique,Normally Demanded
 en collaboration avec les équipes internes. Participer à l'organisation d'événements commerciaux et de salons professionnels,Rabat-Salé-Kénitra,Normally Demanded
 en collaboration avec les équipes internes. Participer à l'organisation d'événements commerciaux et de salons professionnels,vous travaillerez en étroite collaboration avec notre équipe commerciale pour assurer le bon fonctionnement de nos activités commerciales. Vous serez amenée à réaliser la prospection commerciale et gérer de clients.,Normally Demanded
 en collaboration avec les équipes internes. Participer à l'organisation d'événements commerciaux et de salons professionnels,nous recrutons une assistante commerciale motivée et organisée pour rejoindre notre équipe. En tant qu'assistante commerciale,Normally Demanded
 conseiller le client,BAC+2,Highly Demanded
 conseiller le client,https,Normally Demanded
 conseiller le client,https,Normally Demanded
 conseiller le client,CDI,Highly Demanded
06/12/2024,Rabat-Salé-Kénitra,Highly Demanded
06/12/2024,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia,Highly Demanded
06/12/2024,Métiers des centres d'appels,Highly Demanded
06/12/2024,Rabat-Salé-Kénitra,Highly Demanded
06/12/2024,Casablanca-Settat,Highly Demanded
06/12/2024,Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français,Highly Demanded
06/12/2024,Recrute plusieurs profils experts suite à l'ouverture de notre Site à Ain Atiq (région de Témara),Highly Demanded
06/12/2024,Casablanca,Highly Demanded
06/12/2024,Casablanca-Settat,Highly Demanded
06/12/2024,Co Managers,Normally Demanded
06/12/2024,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,Normally Demanded
 ESB,Rabat-Salé-Kénitra,Normally Demanded
 ESB,Société marocaine basée à Rabat Hay Riad spécialisée dans le Développement de logiciels pour hôpitaux et laboratoires,Normally Demanded
 ESB,ENOVA R&T,Normally Demanded
Transport / Manutention / Logistique,Responsable],Normally Demanded
Transport / Manutention / Logistique,[Fiable,Normally Demanded
Transport / Manutention / Logistique,[],Normally Demanded
Industrie automobile,[],Normally Demanded
Industrie automobile,[Ressources humaines],Normally Demanded
Industrie automobile,[],Normally Demanded
24/12/2024,Co Managers,Normally Demanded
24/12/2024,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,Normally Demanded
00DH à 4.500,RAMO,Normally Demanded
00DH à 4.500,Ramo Consulting sucht dynamische und motivierte Agenten,Normally Demanded
 Audiovisuel,Recrutement Centre d'appel et autres,Normally Demanded
 Audiovisuel,JOB DEVELOPPEMENT,Normally Demanded
20/12/2024,Rabat-Salé-Kénitra,Normally Demanded
20/12/2024,ainsi que de gestion de projets technologiques. Grâce à une équipe expérimentée et innovante,Normally Demanded
20/12/2024,d'intégration de systèmes,Normally Demanded
20/12/2024,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia,Normally Demanded
20/12/2024,Commerce / Distribution / Vente / Import-export,Normally Demanded
20/12/2024,Casablanca-Settat,Normally Demanded
20/12/2024,nous accompagnons nos clients dans leur transformation digitale et la réalisation de leurs objectifs technologiques.,Normally Demanded
20/12/2024,Casablanca,Normally Demanded
20/12/2024,Casablanca-Settat,Normally Demanded
 - Secteur Automobile,Casablanca,Normally Demanded
 - Secteur Automobile,JOB DEVELOPPEMENT,Normally Demanded
Informatique / Internet / Multimedia,Informatique / Internet / Multimedia,Normally Demanded
Informatique / Internet / Multimedia,React,Normally Demanded
Informatique / Internet / Multimedia,call center Type de contrat ,Normally Demanded
Informatique / Internet / Multimedia,Casablanca,Normally Demanded
Informatique / Internet / Multimedia,[],Normally Demanded
Informatique / Internet / Multimedia,[Ressources humaines],Normally Demanded
Informatique / Internet / Multimedia,[Proactif],Normally Demanded
Informatique / Internet / Multimedia,Casablanca,Normally Demanded
Informatique / Internet / Multimedia,[],Normally Demanded
Informatique / Internet / Multimedia,bright and talented WebDesigners. Cheche des developpeurs Web on development informatique specialise a la creation et au referencement des sites web.,Normally Demanded
Informatique / Internet / Multimedia,Rabat-Salé-Kénitra,Normally Demanded
Informatique / Internet / Multimedia,Casablanca-Settat,Normally Demanded
Informatique / Internet / Multimedia,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - - Settat - Tanger-Tétouan-Al Hoceïma - International Niveau d'études ,Normally Demanded
Informatique / Internet / Multimedia,[JavaScript,Normally Demanded
Informatique / Internet / Multimedia,Casablanca-Settat,Normally Demanded
Edition / Imprimerie / Reproduction,les demandes des clients (fiches technique,Normally Demanded
Edition / Imprimerie / Reproduction,en particulier,Normally Demanded
Edition / Imprimerie / Reproduction,traitement des réclamations,Normally Demanded
 Salé,Temara,Normally Demanded
 Salé,M-job,Normally Demanded
 dynamique et aimez le travail en équipe. Bonne maîtrise de la langue française. Lieu du stage : Rabat,Anonyme,Normally Demanded
 dynamique et aimez le travail en équipe. Bonne maîtrise de la langue française. Lieu du stage : Rabat,Entreprise de services numériques,Normally Demanded
 colaborar y ofrecer una mejor experiencia al cliente gracias a su portafolio de servicios. Estamos en la búsqueda de un concertador/a de visitas para unirse a nuestro equipo dinámico y en crecimiento nos gustaría que te desarrollaras profesionalmente en Gamma Grup. La persona será responsable de generar citas de calidad con clientes potenciales mediante estrategias efectivas de comunicación y prospección. -Horario: Jornada de 6,https,Normally Demanded
 colaborar y ofrecer una mejor experiencia al cliente gracias a su portafolio de servicios. Estamos en la búsqueda de un concertador/a de visitas para unirse a nuestro equipo dinámico y en crecimiento nos gustaría que te desarrollaras profesionalmente en Gamma Grup. La persona será responsable de generar citas de calidad con clientes potenciales mediante estrategias efectivas de comunicación y prospección. -Horario: Jornada de 6,M-job,Normally Demanded
 colaborar y ofrecer una mejor experiencia al cliente gracias a su portafolio de servicios. Estamos en la búsqueda de un concertador/a de visitas para unirse a nuestro equipo dinámico y en crecimiento nos gustaría que te desarrollaras profesionalmente en Gamma Grup. La persona será responsable de generar citas de calidad con clientes potenciales mediante estrategias efectivas de comunicación y prospección. -Horario: Jornada de 6,Tetouan,Normally Demanded
Artisanat,[Organisé],Normally Demanded
Artisanat,[Logistique],Normally Demanded
Artisanat,Production / Maintenance,Normally Demanded
 SLA,Rabat,Normally Demanded
 SLA,M-job,Normally Demanded
Grande distribution,Marrakech-Safi,Normally Demanded
Grande distribution,Rabat-Salé-Kénitra,Normally Demanded
Grande distribution,Casablanca-Settat,Normally Demanded
Télécommunications,TECH está presente en más de 150 países,Highly Demanded
Télécommunications,así como en Europa,Highly Demanded
Télécommunications,destacando TECH Global University (Andorra) y TECH Universidad Tecnológica (España). Gracias a su enfoque internacional,Highly Demanded
BTP / Construction / Génie civil,[],Normally Demanded
BTP / Construction / Génie civil,[Dynamique],Normally Demanded
BTP / Construction / Génie civil,[],Normally Demanded
Comptabilité / Gestion / Audit,Rabat-Salé-Kénitra,Normally Demanded
Comptabilité / Gestion / Audit,[],Normally Demanded
Comptabilité / Gestion / Audit,régularisations comptables...).,Normally Demanded
Comptabilité / Gestion / Audit,OD,Normally Demanded
Comptabilité / Gestion / Audit,[],Normally Demanded
Comptabilité / Gestion / Audit,[],Normally Demanded
27/11/2024,Co Managers,Normally Demanded
27/11/2024,Rabat-Salé-Kénitra,Normally Demanded
27/11/2024,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,Normally Demanded
27/11/2024,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia,Normally Demanded
27/11/2024,Rabat-Salé-Kénitra,Normally Demanded
27/11/2024,Métiers des centres d'appels,Highly Demanded
27/11/2024,Casablanca-Settat,Normally Demanded
27/11/2024,Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français,Normally Demanded
27/11/2024,Recrute plusieurs profils experts suite à l'ouverture de notre Site à Ain Atiq (région de Témara),Normally Demanded
27/11/2024,Casablanca,Highly Demanded
27/11/2024,Casablanca-Settat,Highly Demanded
 Outlook) Souriant,Excellium Carrières,Normally Demanded
 Outlook) Souriant,M-job,Normally Demanded
 Outlook) Souriant,https,Normally Demanded
 Outlook) Souriant,Casablanca,Normally Demanded
 Outlook) Souriant,Mohammedia,Normally Demanded
 réseaux sociaux. Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable en respectant les process client.,Excellium Carrières est un cabinet de recrutement et de conseils. Il permet à ses candidats de décrocher le meilleur poste auprès des plus grands centres de relation client et sociétés offshoring du marché. Avec une équipe de recruteurs à forte expérience nous vous accompagnons efficacement dans votre insertion professionnelle ans les secteurs les plus dynamiques sur le marché de l'emploi.,Highly Demanded
 réseaux sociaux. Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable en respectant les process client.,Marrakech,Normally Demanded
 réseaux sociaux. Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable en respectant les process client.,Marrakech-Safi,Normally Demanded
 réseaux sociaux. Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable en respectant les process client.,Casablanca-Settat,Highly Demanded
 réseaux sociaux. Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable en respectant les process client.,Casablanca,Highly Demanded
